IDX|20171229|085501|00026357|2|085500|0|ADHI                 |RG  |000460128957|00000001875.00|000000000100|AI  |D|PD  |D|00000001875.00|000000016200|00000001880.00|000000224400|001010585743|001010580057|}f
IDX|20171229|085501|00026358|2|085500|0|ADHI                 |RG  |000460128958|00000001875.00|000000000500|AI  |D|PD  |D|00000001875.00|000000016200|00000001880.00|000000224400|001010585743|001010580074|^‘
IDX|20171229|085501|00026359|2|085500|0|ADHI                 |RG  |000460128959|00000001875.00|000000001500|AI  |D|PD  |D|00000001875.00|000000016200|00000001880.00|000000224400|001010585743|001010582654|hÞ
IDX|20171229|085501|00026360|2|085500|0|ADHI                 |RG  |000460128960|00000001875.00|000000007900|AI  |D|CS  |F|00000001875.00|000000016200|00000001880.00|000000224400|001010585743|001010583855|dJ
IDX|20171229|085501|00026361|2|085500|0|ADHI                 |RG  |000460128961|00000001875.00|000000002000|YP  |D|CS  |F|00000001875.00|000000016200|00000001880.00|000000224400|001010582253|001010583855|ô
IDX|20171229|085501|00026362|2|085500|0|ADHI                 |RG  |000460128962|00000001875.00|000000008800|GR  |D|CS  |F|00000001875.00|000000016200|00000001880.00|000000224400|001010586520|001010583855|B
IDX|20171229|085501|00026363|2|085500|0|ADHI                 |RG  |000460128963|00000001875.00|000000000500|GR  |D|GR  |D|00000001875.00|000000016200|00000001880.00|000000224400|001010586520|001010564741|ó®
IDX|20171229|085501|00026364|2|085500|0|ADHI                 |RG  |000460128964|00000001875.00|000000000700|GR  |D|KK  |D|00000001875.00|000000016200|00000001880.00|000000224400|001010586520|001010567943|
IDX|20171229|085501|00026365|2|085500|0|ADHI                 |RG  |000460128965|00000001875.00|000000000200|PD  |D|KK  |D|00000001875.00|000000016200|00000001880.00|000000224400|001010580138|001010567943|½Ç
IDX|20171229|085501|00026366|2|085500|0|ADHI                 |RG  |000460128966|00000001875.00|000000001600|AZ  |D|KK  |D|00000001875.00|000000016200|00000001880.00|000000224400|001010564420|001010567943|n»
